ID,名称,属性,LV,Cost,HP,耐弾,耐ビ,耐格,射補,格補,スピ,高速移動,スラ,旋回地上,旋回宇宙,再出撃時間,スロ近,スロ中,スロ遠,"格闘判定力(0,1,2)",盾,装飾,IMG
MSR00101,ザクⅠ,強襲,1,100,7000,1,1,4,0,10,120,175,55,48,48,5,3,1,0,2,0,1,MSR00101.png
MSR00102,ザクⅠ,強襲,2,150,8750,2,2,8,2,13,120,175,55,48,48,5,5,2,1,2,0,1,MSR00101.png
MSR00103,ザクⅠ,強襲,3,200,10500,4,4,10,4,16,120,175,55,48,48,5,7,3,2,2,0,1,MSR00101.png
MSR00104,ザクⅠ,強襲,4,250,11750,6,6,12,6,19,120,175,55,48,48,5,10,4,2,2,0,1,MSR00101.png
MSR00105,ザクⅠ,強襲,5,300,13500,8,8,14,8,22,120,175,55,48,48,5,12,5,3,2,0,1,MSR00101.png
MSR00201,ジム・ライトアーマー,強襲,1,100,5500,1,1,4,0,10,120,175,55,48,48,5,3,1,0,2,0,0,MSR00201.png
MSR00202,ジム・ライトアーマー,強襲,2,150,7000,2,2,8,2,13,120,175,55,48,48,5,5,2,1,2,0,0,MSR00201.png
MSR00203,ジム・ライトアーマー,強襲,3,200,8750,3,3,12,4,16,120,175,55,48,48,5,7,3,2,2,0,0,MSR00201.png
MSR00204,ジム・ライトアーマー,強襲,4,250,10000,5,5,14,6,19,120,175,55,48,48,5,10,4,2,2,0,0,MSR00201.png
MSR00205,ジム・ライトアーマー,強襲,5,300,11500,7,7,16,8,22,120,175,55,48,48,5,12,5,3,2,0,0,MSR00201.png
MSR00301,アッガイ,強襲,1,200,11000,4,8,6,15,5,125,185,55,60,-1,7,7,5,0,2,0,0,MSR00301.png
MSR00302,アッガイ,強襲,2,250,13500,6,10,8,18,7,125,185,55,60,-1,7,8,7,1,2,0,0,MSR00301.png
MSR00303,アッガイ,強襲,3,300,15000,8,12,10,21,9,125,185,55,60,-1,7,10,8,2,2,0,0,MSR00301.png
MSR00304,アッガイ,強襲,4,350,17500,10,14,12,24,11,125,185,55,60,-1,7,12,9,3,2,0,0,MSR00301.png
MSR00305,アッガイ,強襲,5,400,19000,12,16,14,27,13,125,185,55,60,-1,7,14,10,4,2,0,0,MSR00301.png
MSR00401,アッグ［ML装備］,強襲,1,200,12000,14,1,3,10,15,130,200,60,51,-1,7,3,5,4,2,0,0,MSR00401.png
MSR00402,アッグ［ML装備］,強襲,2,250,13500,18,1,4,12,18,130,200,60,51,-1,7,4,7,5,2,0,0,MSR00401.png
MSR00403,アッグ［ML装備］,強襲,3,300,15000,22,1,5,14,21,130,200,60,51,-1,7,5,9,6,2,0,0,MSR00401.png
MSR00404,アッグ［ML装備］,強襲,4,350,16500,26,1,6,16,24,130,200,60,51,-1,7,6,11,7,2,0,0,MSR00401.png
MSR00501,ドラッツェ,強襲,1,200,9000,9,6,3,2,18,130,210,80,-1,49.5,7,5,2,5,2,1,0,MSR00501.png
MSR00502,ドラッツェ,強襲,2,250,10500,12,8,4,4,21,130,210,80,-1,49.5,7,8,2,6,2,1,0,MSR00501.png
MSR00503,ドラッツェ,強襲,3,300,12000,15,10,5,6,24,130,210,80,-1,49.5,7,10,3,7,2,1,0,MSR00501.png
MSR00504,ドラッツェ,強襲,4,350,13500,18,12,6,8,27,130,210,80,-1,49.5,7,13,3,8,2,1,0,MSR00501.png
MSR00601,アッグガイ,強襲,1,250,11500,7,7,10,5,20,120,185,60,63,-1,8,7,6,3,2,0,0,MSR00601.png
MSR00602,アッグガイ,強襲,2,300,13500,9,9,12,7,23,120,185,60,63,-1,8,9,7,4,2,0,0,MSR00601.png
MSR00603,アッグガイ,強襲,3,350,15500,11,11,14,9,26,120,185,60,63,-1,8,11,8,5,2,0,0,MSR00601.png
MSR00604,アッグガイ,強襲,4,400,17500,13,13,16,11,29,120,185,60,63,-1,8,13,9,6,2,0,0,MSR00601.png
MSR00701,グフ,強襲,1,250,10500,6,2,16,5,20,135,190,65,63,-1,8,10,5,1,2,1,0,MSR00701.png
MSR00702,グフ,強襲,2,300,13000,8,4,18,5,25,135,190,65,63,-1,8,11,7,2,2,1,0,MSR00701.png
MSR00703,グフ,強襲,3,350,14500,10,6,20,5,30,135,190,65,63,-1,8,13,9,2,2,1,0,MSR00701.png
MSR00704,グフ,強襲,4,400,16000,12,8,22,5,35,135,190,65,63,-1,8,15,10,3,2,1,0,MSR00701.png
MSR00801,ジム・ナイトシーカーⅡ,強襲,1,250,11000,8,4,12,15,10,120,190,65,57,51,8,9,5,2,2,0,0,MSR00801.png
MSR00802,ジム・ナイトシーカーⅡ,強襲,2,300,12000,10,6,14,18,12,125,190,70,57,51,8,11,6,3,2,0,0,MSR00801.png
MSR00803,ジム・ナイトシーカーⅡ,強襲,3,350,13000,12,8,16,21,14,120,190,65,57,51,8,13,7,4,2,0,0,MSR00801.png
MSR00804,ジム・ナイトシーカーⅡ,強襲,4,400,15000,14,10,18,24,16,120,190,65,57,51,8,15,8,5,2,0,0,MSR00801.png
MSR00901,ヅダ,強襲,1,250,10500,6,6,12,20,5,105,210,70,48,57,8,3,5,8,1,0,1,MSR00901.png
MSR00902,ヅダ,強襲,2,300,12250,8,8,14,25,10,110,210,75,48,57,8,4,7,9,1,0,1,MSR00901.png
MSR00903,ヅダ,強襲,3,350,13500,10,10,16,30,5,105,210,70,48,57,8,4,9,11,1,0,1,MSR00901.png
MSR00904,ヅダ,強襲,4,400,15000,12,12,18,35,5,105,210,70,48,57,8,5,10,13,1,0,1,MSR00901.png
MSR01001,陸戦用ジム,強襲,1,250,11000,9,9,11,15,10,115,185,55,57,-1,8,7,5,4,2,0,0,MSR01001.png
MSR01002,陸戦用ジム,強襲,2,300,12500,11,11,13,18,15,115,185,55,57,-1,8,9,6,5,2,0,0,MSR01001.png
MSR01003,陸戦用ジム,強襲,3,350,14000,13,13,15,21,20,115,185,55,57,-1,8,11,7,6,2,0,0,MSR01001.png
MSR01101,アッガイ【TB】,強襲,1,300,15000,10,10,10,15,15,130,190,60,63,-1,10,7,7,6,2,0,0,MSR01101.png
MSR01102,アッガイ【TB】,強襲,2,350,16500,12,12,12,18,19,130,190,60,63,-1,10,9,8,7,2,0,0,MSR01101.png
MSR01201,イフリート（DS）,強襲,1,300,13000,9,9,12,12,23,130,185,60,60,-1,10,10,8,2,2,0,0,MSR01201.png
MSR01202,イフリート（DS）,強襲,2,350,14500,11,11,14,13,27,130,185,60,60,-1,10,12,9,3,2,0,0,MSR01201.png
MSR01203,イフリート（DS）,強襲,3,400,16000,13,13,16,14,36,130,185,60,60,-1,10,14,10,4,2,0,0,MSR01201.png
MSR01204,イフリート（DS）,強襲,4,450,17500,15,15,18,15,40,130,185,60,60,-1,10,16,11,5,2,0,0,MSR01201.png
MSR01301,ゴッグ,強襲,1,300,16000,20,20,28,10,20,75,170,55,51,-1,10,14,4,2,2,0,0,MSR01301.png
MSR01302,ゴッグ,強襲,2,350,17500,22,22,30,13,22,75,170,55,51,-1,10,15,6,3,2,0,0,MSR01301.png
MSR01303,ゴッグ,強襲,3,400,19000,24,24,32,16,24,75,170,55,51,-1,10,16,8,4,2,0,0,MSR01301.png
MSR01304,ゴッグ,強襲,4,450,20500,26,26,34,19,26,75,170,55,51,-1,10,17,10,5,2,0,0,MSR01301.png
MSR01401,ザク・フリッパー,強襲,1,300,12000,11,11,8,28,17,125,200,65,60,66,10,6,7,7,1,0,0,MSR01401.png
MSR01402,ザク・フリッパー,強襲,2,350,13500,13,13,10,31,19,125,200,65,60,66,10,8,8,9,1,0,0,MSR01401.png
MSR01501,ザクⅡFS型（SM）,強襲,1,300,14500,8,8,14,0,30,130,195,65,63,63,10,12,7,1,2,0,0,MSR01501.png
MSR01502,ザクⅡFS型（SM）,強襲,2,350,16000,10,10,16,0,35,130,195,65,63,63,10,14,8,2,2,0,0,MSR01501.png
MSR01503,ザクⅡFS型（SM）,強襲,3,400,17500,12,12,18,0,40,130,195,65,63,63,10,16,9,3,2,0,0,MSR01501.png
MSR01504,ザクⅡFS型（SM）,強襲,4,450,19000,14,14,20,0,45,130,195,65,63,63,10,18,10,4,2,0,0,MSR01501.png
MSR01601,ザクⅡ（KG）,強襲,1,300,14000,14,8,15,5,25,125,190,65,66,60,10,11,7,2,2,0,0,MSR01601.png
MSR01602,ザクⅡ（KG）,強襲,2,350,16000,16,10,18,5,32,125,190,65,66,60,10,13,8,3,2,0,0,MSR01601.png
MSR01701,ジム・ガードカスタム,強襲,1,300,11000,7,7,16,10,20,115,190,65,48,55.3,10,7,9,4,2,1,0,MSR01701.png
MSR01702,ジム・ガードカスタム,強襲,2,350,13000,9,9,18,12,23,120,190,65,48,55.3,10,9,10,5,2,1,0,MSR01701.png
MSR01703,ジム・ガードカスタム,強襲,3,400,15000,11,11,20,14,26,115,190,65,48,55.3,10,11,11,6,2,1,0,MSR01701.png
MSR01704,ジム・ガードカスタム,強襲,4,450,16500,13,13,22,16,29,115,190,65,48,55.3,10,13,12,7,2,1,0,MSR01701.png
MSR01801,ジム［ギャザーロード隊仕様］,強襲,1,300,13000,10,10,10,20,10,130,190,55,66,63,10,8,10,6,2,0,0,MSR01801.png
